iter	Passed	Remaining
523	88323	80233
524	88547	80114
525	88736	79963
526	89001	79881
527	89474	79984
528	89764	79922
529	89992	79804
530	90351	79802
531	90627	79725
532	90933	79673
533	91146	79539
534	91344	79392
535	91580	79279
536	91816	79164
537	91989	78994
538	92162	78825
539	92349	78667
540	92548	78520
541	92715	78346
542	92929	78211
543	93290	78199
544	93614	78155
545	94052	78204
546	94276	78075
547	94480	77929
548	94676	77775
549	94846	77601
550	95111	77504
551	95364	77397
552	95599	77274
553	95819	77139
554	96054	77016
555	96165	76794
556	96258	76557
557	96356	76325
558	96452	76092
559	96544	75856
560	96637	75622
561	96733	75390
562	96838	75165
563	97012	74995
564	97139	74788
565	97252	74571
566	97347	74341
567	97449	74116
568	97564	73902
569	97683	73690
570	97804	73481
571	97924	73272
572	98054	73069
573	98368	73005
574	98524	72822
575	98684	72642
576	98819	72444
577	98957	72249
578	99058	72026
579	99164	71808
580	99256	71580
581	99353	71357
582	99463	71143
583	99556	70917
584	99665	70703
585	99766	70483
586	99854	70255
587	99986	70058
588	100205	69922
589	100338	69726
590	100458	69522
591	100577	69316
592	100693	69110
593	100816	68907
594	100946	68711
595	101191	68592
596	101287	68373
597	101397	68163
598	101517	67960
599	101626	67751
600	101744	67547
601	101850	67336
602	101948	67120
603	102075	66923
604	102179	66712
605	102280	66499
606	102383	66287
607	102496	66083
608	102608	65878
609	102708	65666
610	102820	65461
611	102934	65259
612	103283	65205
613	103478	65053
614	103630	64874
615	103802	64708
616	103943	64522
617	104086	64338
618	104217	64146
619	104332	63945
620	104463	63754
621	104714	63636
622	104820	63431
623	104937	63231
624	105055	63033
625	105160	62827
626	105269	62624
627	105383	62424
628	105491	62221
629	105602	62020
630	105705	61814
631	105810	61611
632	105924	61412
633	106034	61212
634	106152	61016
635	106264	60817
636	106367	60614
637	106466	60408
638	106563	60202
639	106667	60000
640	106756	59790
641	106869	59594
642	106979	59396
643	107091	59199
644	107260	59034
645	107374	58840
646	107501	58652
647	107622	58461
648	107717	58257
649	107818	58055
650	107922	57857
651	108028	57659
652	108135	57462
653	108277	57284
